JOB_ID,DESIGNATION,COMBINED_LOCATIONS,CITY,STATE,COUNTRY,Company_ID,Detailed_id
3785000,Lead Project Control Analyst,"Hyderabad, Telangana, India",Hyderabad, Telangana, India,11107001,578000
3785001,F&A Manager,"Bhiwadi, Rajasthan, India",Bhiwadi, Rajasthan, India,11107002,578001
3785002,Business Development Associate,"Ranchi, Jharkhand, India",Ranchi, Jharkhand, India,11107003,578002
3785003,IT Business Analyst,"Pune, Maharashtra, India",Pune, Maharashtra, India,11107004,578003
3785004,Business Development Manager,"Hyderabad, Telangana, India",Hyderabad, Telangana, India,11107005,578004
3785005,Retail Executive,"Gurugram, Haryana, India",Gurugram, Haryana, India,11107006,578005
3785006,Business Development Specialist,"Vadodara, Gujarat, India",Vadodara, Gujarat, India,11107007,578006
3785007,Business Analyst,"Hyderabad, Telangana, India",Hyderabad, Telangana, India,11107008,578007
3785008,Digital Marketing Internship in Ahmedabad at Rede Design Studio,"Ahmedabad, Gujarat, India",Ahmedabad, Gujarat, India,11107009,578008
3785009,Cluster Sales Analyst,"Bengaluru, Karnataka, India",Bengaluru, Karnataka, India,11107010,578009
3785010,Assistant Professor,"Bhavnagar, Gujarat, India",Bhavnagar, Gujarat, India,11107011,578010
3785011,Data Science Intern,India,India,,,11107012,578011
3785012,Data Science Internship in Hyderabad at SmatSocial,"Hyderabad, Telangana, India",Hyderabad, Telangana, India,11107013,578012
3785013,Associate Power BI Analyst,"Bengaluru, Karnataka, India",Bengaluru, Karnataka, India,11107014,578013
3785014,Social Media Analyst,"Ahmedabad, Gujarat, India",Ahmedabad, Gujarat, India,11107015,578014
3785015,Assistant Supervisor,India,India,,,11107016,578015
3785016,Microsoft Power BI Application Developer,"Hyderabad, Telangana, India",Hyderabad, Telangana, India,11107017,578016
3785017,Analyst/Senior Analyst - Financial Data Management,"Hyderabad, Telangana, India",Hyderabad, Telangana, India,11107018,578017
3785018,Associate Project Manager,"Bengaluru, Karnataka, India",Bengaluru, Karnataka, India,11107019,578018
3785019,Consultant - Business Consulting Risk - TMT - Risk Assurance - Mumbai,"Mumbai, Maharashtra, India",Mumbai, Maharashtra, India,11107020,578019
3785020,Business Executive,"Chennai, Tamil Nadu, India",Chennai, Tamil Nadu, India,11107021,578020
3785021,Manager,"Pune, Maharashtra, India",Pune, Maharashtra, India,11107022,578021
3785022,Business Development Executive (Ahmedabad) IT SALES - (2-5 YEARS EXP),"Ahmedabad, Gujarat, India",Ahmedabad, Gujarat, India,11107023,578022
3785023,Web Development Internship in Ahmedabad at Simulas,"Ahmedabad, Gujarat, India",Ahmedabad, Gujarat, India,11107024,578023
3785024,Process Specialist,"Bengaluru, Karnataka, India",Bengaluru, Karnataka, India,11107025,578024
3785025,Product Analyst,"Bengaluru, Karnataka, India",Bengaluru, Karnataka, India,11107026,578025
3785026,Sr. Data Analyst,"Maharashtra, India",Maharashtra, India,,11107027,578026
3785027,Power Bi,"Bengaluru, Karnataka, India",Bengaluru, Karnataka, India,11107028,578027
3785028,Master Data Specialist,"Hyderabad, Telangana, India",Hyderabad, Telangana, India,11107029,578028
3785029,Quantitative Research Analyst - IIT/NIT/ISI/BITS/CMI,"Ahmedabad, Gujarat, India",Ahmedabad, Gujarat, India,11107030,578029
3785030,Associate Consultant - Data & Intelligence,"Chennai, Tamil Nadu, India",Chennai, Tamil Nadu, India,11107031,578030
3785031,2023 Global Data Analytics - Mumbai,"Mumbai, Maharashtra, India",Mumbai, Maharashtra, India,11107032,578031
3785032,Data Researcher I,"Hyderabad, Telangana, India",Hyderabad, Telangana, India,11107033,578032
3785033,Technology Analyst,"Indore, Madhya Pradesh, India",Indore, Madhya Pradesh, India,11107034,578033
3785034,Insights Analyst,"Bengaluru, Karnataka, India",Bengaluru, Karnataka, India,11107035,578034
3785035,"Associate Consultant, TS","Ahmedabad, Gujarat, India",Ahmedabad, Gujarat, India,11107036,578035
3785036,Associate - Kolkata - Y 14 - Technology Consulting,"Kolkata, West Bengal, India",Kolkata, West Bengal, India,11107037,578036
3785037,Research Associate (Survey Programming),"Vadodara, Gujarat, India",Vadodara, Gujarat, India,11107038,578037
3785038,Business Operations Associate,"Bengaluru, Karnataka, India",Bengaluru, Karnataka, India,11107039,578038
3785039,Project Control Analyst,"Hyderabad, Telangana, India",Hyderabad, Telangana, India,11107040,578039
3785040,"Industry X.0 (IOT, Industry 4.0)","Delhi, India",Delhi, India,,11107041,578040
3785041,Jr. Automation Engineer,"Mumbai, Maharashtra, India",Mumbai, Maharashtra, India,11107042,578041
3785042,Demand Planning Analyst,"Anupgarh, Rajasthan, India",Anupgarh, Rajasthan, India,11107043,578042
3785043,MIS- Data Analytics,"Mumbai, Maharashtra, India",Mumbai, Maharashtra, India,11107044,578043
3785044,Executive Production Planning,"Ahmedabad, Gujarat, India",Ahmedabad, Gujarat, India,11107045,578044
3785045,Associate - Graduate Job (January Start),"Mumbai, Maharashtra, India",Mumbai, Maharashtra, India,11107046,578045
3785046,CAN - Analyst,"Bangalore Urban, Karnataka, India",Bangalore Urban, Karnataka, India,11107047,578046
3785047,2023 Global Data Analytics - Mumbai,"Mumbai, Maharashtra, India",Mumbai, Maharashtra, India,11107048,578047
3785048,Data Researcher I,"Hyderabad, Telangana, India",Hyderabad, Telangana, India,11107049,578048
3785049,Product Analyst,"Bengaluru, Karnataka, India",Bengaluru, Karnataka, India,11107050,578049
3785050,Sr. Data Analyst,"Maharashtra, India",Maharashtra, India,,11107051,578050
3785051,Quantitative Research Analyst - IIT/NIT/ISI/BITS/CMI,"Ahmedabad, Gujarat, India",Ahmedabad, Gujarat, India,11107052,578051
3785052,Technology Analyst,"Indore, Madhya Pradesh, India",Indore, Madhya Pradesh, India,11107053,578052
3785053,Insights Analyst,"Bengaluru, Karnataka, India",Bengaluru, Karnataka, India,11107054,578053
3785054,Business Operations Associate,"Bengaluru, Karnataka, India",Bengaluru, Karnataka, India,11107055,578054
3785055,Associate - Kolkata - Y 14 - Technology Consulting,"Kolkata, West Bengal, India",Kolkata, West Bengal, India,11107056,578055
3785056,Research Associate (Survey Programming),"Vadodara, Gujarat, India",Vadodara, Gujarat, India,11107057,578056
3785057,"Associate Consultant, TS","Ahmedabad, Gujarat, India",Ahmedabad, Gujarat, India,11107058,578057
3785058,Project Control Analyst,"Hyderabad, Telangana, India",Hyderabad, Telangana, India,11107059,578058
3785059,Cost Optimization Analyst,"Chennai, Tamil Nadu, India",Chennai, Tamil Nadu, India,11107060,578059
3785060,Power BI,"Hyderabad, Telangana, India",Hyderabad, Telangana, India,11107061,578060
3785061,Payroll Coordinator,"Bangalore Urban, Karnataka, India",Bangalore Urban, Karnataka, India,11107062,578061
3785062,Associate Data Scientist,"Indore, Madhya Pradesh, India",Indore, Madhya Pradesh, India,11107063,578062
3785063,Business Development Executive,"Ahmedabad, Gujarat, India",Ahmedabad, Gujarat, India,11107064,578063
3785064,Jr. Automation Engineer,"Mumbai, Maharashtra, India",Mumbai, Maharashtra, India,11107065,578064
3785065,Associate Consultant - Data & Intelligence,"Chennai, Tamil Nadu, India",Chennai, Tamil Nadu, India,11107066,578065
